input,tags
"Klarg roars, Ripper! Klarg will crush you, You will gaa- he is cut off as an arrow hits him square in the chest and he starts to cough up blood. His anger immediately turns to fear as he starts to fall backwards... into a roll (Disengage Action) He hobbles over to the west side of the room with very labored breathing, each exhale spewing more blood, and makes a fumble for the garbage chute. Athletics 3 (LOL) You hear a Waaaaargh! OOF! 11 Az Emberi- 8 HP Hymir- 1 HP Goblin 1) Shortbow out Goblin 4) Shortbow out Dirk- 2 HP Ripper- Dead Absinthe- 1 HP Melee with Klarg and Ripper Fjolnir- 5 HP Klarg- Taken 35 damage Az EMberi and Hymir you're up.","[{""creature"":{""words"":[[""Klarg-""],[""Ripper""],[""Melee""],[""Ripper-""],[""Goblin""],[""Goblin""],[""Az"",""Emberi-""]],""indices"":[[114],[110],[106],[101],[94],[90],[83,84]]},""target"":{""words"":[[""Hymir""],[""Az"",""EMberi""],[""Fjolnir-""],[""Klarg""],[""Absinthe-""],[""Dirk-""],[""Hymir-""]],""indices"":[[121],[118,119],[111],[108],[103],[98],[87]]},""damageRoll"":{""words"":[[""1"",""5"",""8"",""1"",""2""],[""35""]],""indices"":[[104,112,85,88,99],[116]]}},{""target"":{""words"":[[""Klarg""]],""indices"":[[0]]},""creature"":{""words"":[[""Ripper!""]],""indices"":[[2]]},""attack"":{""words"":[[""garbage"",""chute.""],[""(Disengage"",""Action)""],[""arrow""]],""indices"":[[72,73],[45,46],[16]]},""spell"":{""words"":[[""OOF!""],[""Waaaaargh!""],[""hobbles""]],""indices"":[[81],[80],[48]]}}]"
"Looks like we have to go for a swim to finish this. Do we think these things are intelligent enough to negotiate at this point? Seriously, does someone want to dangle me over the side for a little powow fireside chat with Ariel's over caricature of an aunt? I mean we get it, you are the evil antagonist of the story but it wouldn't hurt to put on a little make up and do some situps once in a while AMIRIGHT? While I look to everyone for affirmation I am definitely looking at Mary, making that 'Come on, for reals though right?' face.",[]
"Lute at the ready, I play a cheery song about goblins who definitely aren't going to die, heavy with sarcasm. A sleepy song directed at the archers at the back 24","[{""creature"":{""words"":[[""Lute""]],""indices"":[[0]]},""target"":{""words"":[[""goblins""]],""indices"":[[10]]},""spell"":{""words"":[[""sarcasm.""]],""indices"":[[19]]},""attack"":{""words"":[[""archers""]],""indices"":[[26]]},""attackRoll"":{""words"":[[""24""]],""indices"":[[30]]}}]"
Magic Missiles! R3 2 R1 3 R1 4,"[{""spell"":{""words"":[[""Magic"",""Missiles!""]],""indices"":[[0,1]]},""attackRoll"":{""words"":[[""R3"",""2"",""R1"",""3"",""R1"",""4""]],""indices"":[[2,3,4,5,6,7]]}}]"
Merc that wolf. Attack 25 Damage 9 + Sneak Attack 8,"[{""creature"":{""words"":[[""Merc""]],""indices"":[[0]]},""target"":{""words"":[[""wolf.""]],""indices"":[[2]]},""attackRoll"":{""words"":[[""8""],[""25""]],""indices"":[[10],[4]]},""damageRoll"":{""words"":[[""9""]],""indices"":[[6]]}}]"
"Move 20' forward, shoot a hob. Attack 10 Damage 7","[{""target"":{""words"":[[""hob.""]],""indices"":[[5]]},""damageRoll"":{""words"":[[""10"",""7""]],""indices"":[[7,9]]},""attackRoll"":{""words"":[[""10""]],""indices"":[[7]]},""attack"":{""words"":[[""shoot""]],""indices"":[[3]]}}]"
Round 4: Game of Cragmaw Absinthe make a death save. Dirk is up.,"[{""creature"":{""words"":[[""Cragmaw"",""Absinthe""]],""indices"":[[4,5]]},""savingThrow"":{""words"":[[""save.""]],""indices"":[[9]]},""target"":{""words"":[[""Dirk""]],""indices"":[[10]]}}]"
"Round 6: Sahuagin! (Pronounced: Sa-HOO-wa-gin) Dirk rouses Dustfinger with a touch of healing and swims away after granting himself free movement and bonus HP. Dustfinger uses his granted movement and new lease on life to attempt to make it back to the ship. He uses his turn to climb up the side and back onto the deck. He fires off two blasts of eldritch energy: Attack: 21 Damage: 5 / Attack: 14 Damage: 2 The Guards all hold position, fearing their armor would drag them down if they jumped in, and watch helplessly from the deck. Captain Miggetter yells, 'Halt! We're not leavin' anyone behind!' the ship lurches as the oars are dipped in the water to stop its advance. Az Emberi and Fjolnir are up! 19 Dirk 18/32 +5 (d6 Bardic Inspiration) 17 Dustfinger 10/33 +5 16 Guards (Holding Attacks) 16 Sahuagin Baron 13 Captain & Keel Breaker (Taken 96 damage to underside) 12 Az Emberi 34/38 +5 12 Fjolnir 30/54 +5 (C on Hunter's Mark) 12 First Mate & Bosun 11 Sahuagin Priestess #1 (1st: X 2nd: X 3rd: XX) (Faerie Fired) #2 (1st: X 2nd: XX 3rd: XXX, Taken 29 damage, looks rough) (Faerie Fired, Hunter's Marked) 10 Sahuagin 9 Absinthe 23/43 (Holding melee attack) 9 Garrett (1st [X][][][] / Inspirations: [X][X][X]) 8 Giant Shark (Taken 48 damage, Faerie Fired, Hexed INT) 7 Mary (C on Hex, 3rd: [X][X]) 2 Gearbox","[{""creature"":{""words"":[[""Sahuagin!""]],""indices"":[[2]]},""target"":{""words"":[[""Az"",""Emberi"",""Fjolnir""],[""Dirk""]],""indices"":[[120,121,123],[5]]},""attack"":{""words"":[[""eldritch"",""energy:""],[""Dustfinger""],[""Dustfinger""]],""indices"":[[63,64],[24],[7]]},""attackRoll"":{""words"":[[""2""],[""19"",""17"",""16"",""16"",""13"",""12"",""12"",""12"",""11"",""10"",""9"",""9"",""8"",""7""],[""14""],[""21""]],""indices"":[[232],[126,133,137,141,144,154,159,167,172,200,202,208,215,225],[71],[66]]},""damageRoll"":{""words"":[[""29"",""48""],[""2""],[""5""]],""indices"":[[192,219],[73],[68]]},""feature"":{""words"":[[""Captain"",""Miggetter""],[""Guards""]],""indices"":[[96,97],[75]]}}]"
Shrug damage: 7 Short sword Attack: 23 Damage: 6 Stomp on jellies face Attack: 13 Damage: 6,"[{""target"":{""words"":[[""Shrug""]],""indices"":[[0]]},""damageRoll"":{""words"":[[""6""],[""13""],[""23""],[""7""]],""indices"":[[16],[14],[6],[2]]},""attack"":{""words"":[[""jellies"",""face""],[""sword""]],""indices"":[[11,12],[4]]},""attackRoll"":{""words"":[[""6""]],""indices"":[[8]]}}]"
So hey.... fingers. He doesn't need fingers right? Maybe we take 2-3 off and he can't get out so easily... if at all anymore? Help load it back into the cart.,"[{""attackRoll"":{""words"":[[""2-3""]],""indices"":[[11]]}}]"
"Stealth 18 (if this rerolls, it was 18 pre-edit) Initiative 23","[{""creature"":{""words"":[[""Stealth""]],""indices"":[[0]]},""damageRoll"":{""words"":[[""18""]],""indices"":[[1]]},""savingThrow"":{""words"":[[""18""]],""indices"":[[7]]},""attackRoll"":{""words"":[[""23""]],""indices"":[[10]]}}]"
"To Favric, 'And now you never will!' Absinthe charges towards the northern most cultist, with a crazy look of insanity in my eye. Grapple: 24","[{""target"":{""words"":[[""Favric,""]],""indices"":[[1]]},""creature"":{""words"":[[""Absinthe""]],""indices"":[[7]]},""spell"":{""words"":[[""crazy""],[""cultist,""]],""indices"":[[16],[13]]},""attack"":{""words"":[[""Grapple:""]],""indices"":[[23]]},""attackRoll"":{""words"":[[""24""]],""indices"":[[24]]}}]"
Use action to call lightning on 18. 20 lightning dmg,"[{""attack"":{""words"":[[""lightning""]],""indices"":[[4]]},""attackRoll"":{""words"":[[""18.""]],""indices"":[[6]]},""damageRoll"":{""words"":[[""20""]],""indices"":[[7]]}}]"
"Walking forward about 15 feet, and just un-shielding his eyes from the fireball, Fjolnir hears Az taunt the attacker, and he yells back with one eye still closed, 'He's 'The Spider', an 'e sends pets, also spiders, ta fight... is it a little derivative and repetitious?!' [the battle sounds interrupt him] 'Like how do we refer to him, The spider an his spiders? Soun' like a shit group of mummers!'",[]
"What should've been a finishing move for the party ended up being an utter failure, as Hymir, Dirk and Absinthe all miss their targets. Hymir had too much to get around and misjudged the shot, as did Dirk. Absinthe moved past Az Emebri into the room, skirting around the spikes, and flung a dart that just barely missed. (I did add your 9 health back for shrugged damage) The two skeletons, unclear as to why they are still standing, draw and fire, one at Absinthe and one at Az Emberi. vs. Absinthe: Attack: 23 Damage: 3 vs. Az: Attack: 21 Damage: 8 Both hit, these skeletons must be elite. (Damage applied) Az Emberi, Fjolnir, Dustfinger, you're up! 21- Fjolnir 18- Dustfinger 15- Hymir 11- Dirk 10- Absinthe 8- Skeletons AC 13 1) Taken 9 damage, looks rough. 2) Taken 10 damage, looks rough. 3- Az Emberi","[{""attackRoll"":{""words"":[[""21-"",""18-"",""15-"",""11-"",""10-"",""8-"",""23"",""21""]],""indices"":[[117,119,121,123,125,127,93,99]]},""damageRoll"":{""words"":[[""8"",""9"",""10"",""3-"",""3""]],""indices"":[[101,133,139,143,95]]},""creature"":{""words"":[[""Az"",""Emberi,"",""Dustfinger,""]],""indices"":[[111,112,114]]},""target"":{""words"":[[""Fjolnir,""]],""indices"":[[113]]}},{""creature"":{""words"":[[""Absinthe:""],[""Absinthe""]],""indices"":[[91],[84]]},""target"":{""words"":[[""Az"",""Emberi.""]],""indices"":[[88,89]]}},{""creature"":{""words"":[[""Absinthe""]],""indices"":[[38]]},""target"":{""words"":[[""Az"",""Emebri""]],""indices"":[[41,42]]},""attack"":{""words"":[[""spikes,"",""dart""]],""indices"":[[49,53]]}},{""creature"":{""words"":[[""Absinthe""],[""Hymir,"",""Hymir""]],""indices"":[[19],[16,24]]},""target"":{""words"":[[""Dirk"",""Dirk.""]],""indices"":[[17,37]]}}]"
"While running, Dirk stumbles at the same time he swings his shortsword. He nearly falls flat and his sword clangs into the ground. He rights himself and at least connects with the dagger. Hymir moves through the healing spirit and then flings a fire bolt at zombie #6. Heals: 2 Hurts: Attack: 13 Damage: 2 It's just enough to end the zombies semblance of life, 13 But it hangs on by a thread. Zombie 6 attacks Az Emberi: Attack: 4 Damage: 5 But doesn't even lift his arm high enough to swing, like a limp shouldered flail. Zombie 8 attacks the confusing amount of Dustfingers: 2 / 7 Damage: 5 While it randomly targeted the correct one, it was no where near fast enough to connect. Everyone is up! 18- Hymir 26+5/30 HP 15- Dwarven Zombies AC: 8/ HP: 22 6) 1 HP 8) Taken 16 damage, looks hurt 13- Fjolnir 36+5/44 HP 13- Absinthe 19+1/35 HP 08- Flameskull- Ba doo be, shattered, shattered. Look at him, he's in tatters. 05- Dustfinger 4/27 HP (Has 3 duplicates) 04- Az Emberi 23/31 HP (C) Healing Spirit 04- Dirk 12+5 /27 HP","[{""damageRoll"":{""words"":[[""16""]],""indices"":[[145]]}},{""creature"":{""words"":[[""Zombie""]],""indices"":[[97]]},""target"":{""words"":[[""Dustfingers:""]],""indices"":[[104]]},""damageRoll"":{""words"":[[""7""]],""indices"":[[107]]},""attackRoll"":{""words"":[[""8""]],""indices"":[[98]]}},{""creature"":{""words"":[[""Zombie""]],""indices"":[[73]]},""target"":{""words"":[[""Az"",""Emberi:""]],""indices"":[[76,77]]},""attackRoll"":{""words"":[[""4""],[""6""]],""indices"":[[79],[74]]},""damageRoll"":{""words"":[[""5""]],""indices"":[[81]]},""attack"":{""words"":[[""limp"",""shouldered"",""flail.""]],""indices"":[[94,95,96]]}},{""attackRoll"":{""words"":[[""13""]],""indices"":[[52]]},""damageRoll"":{""words"":[[""2""]],""indices"":[[54]]}},{""creature"":{""words"":[[""Dirk""]],""indices"":[[2]]},""attack"":{""words"":[[""fire"",""bolt""],[""healing"",""spirit""],[""dagger.""],[""shortsword.""]],""indices"":[[43,44],[37,38],[32],[11]]},""target"":{""words"":[[""Hymir""]],""indices"":[[33]]},""spell"":{""words"":[[""zombie""]],""indices"":[[46]]}}]"
"With our inevitable doom in sight, Absinthe decides to go out doing the things he likes most. Punching and Grappling things. Absinthe takes a deep breath and in one swoop drops his robe. Standing completely naked with his stupid Yklwa in hand and Goliath dong just hanging out. 'May this be or may it not be my final battle! Or something like that!' Absinthe charges towards the dragon, dong flopping back and forth between his legs. Leaps at the dragons throat, just below the head. Grapple: 21 Bonus Yklwa Attack: 22 Damage: 8","[{""creature"":{""words"":[[""Absinthe""]],""indices"":[[63]]},""attack"":{""words"":[[""Grapple:""],[""Leaps""],[""dragon,""]],""indices"":[[85],[76],[67]]},""attackRoll"":{""words"":[[""22""]],""indices"":[[90]]},""damageRoll"":{""words"":[[""8""]],""indices"":[[92]]},""savingThrow"":{""words"":[[""21""]],""indices"":[[86]]}},{""creature"":{""words"":[[""Goliath""],[""Absinthe""]],""indices"":[[43],[21]]},""attack"":{""words"":[[""robe.""]],""indices"":[[32]]},""target"":{""words"":[[""Yklwa""]],""indices"":[[39]]}},{""creature"":{""words"":[[""Absinthe""]],""indices"":[[6]]},""attack"":{""words"":[[""Punching"",""Grappling""]],""indices"":[[17,19]]}}]"
"Zhermong you have earned your prize and your life you will get no apology for what i had to do but whether it means anything to you, you have earned my respect as well. i trust you will make good on your side safe passage for you to leave and us to pass through. i would like to be on gaurd in case he attacks me and i would like to ready an action to prevent Sidar or anyone from attacking or taking his sword. we did it gents we can rest easy.","[{""creature"":{""words"":[[""i"",""i"",""attacking""],[""Zhermong""]],""indices"":[[54,67,80],[0]]},""feature"":{""words"":[[""ready"",""an"",""action""],[""be"",""on"",""gaurd"",""attacking""]],""indices"":[[71,72,73],[58,59,60,80]]},""target"":{""words"":[[""anyone""],[""Zhermong"",""Sidar""],[""Zhermong""]],""indices"":[[78],[0,76],[0]]}}]"
after everything i continue the conversation with Nezznar Very visibly and noticeably writes down his answers This whole 'we'll see' and the 'might be an option' these questions are to figure out information there is no right or wrong answer and no answer that you give will change certain outcomes on whether you are able to have a reduce sentence or not. continues writing. i know you understood what i was asking on my most important question so that makes your answer interesting.,"[{""creature"":{""words"":[[""asking""],[""writing.""],[""reduce""],[""answers""],[""writes""],[""conversation""]],""indices"":[[71],[63],[58],[15],[12],[5]]},""target"":{""words"":[[""answer""],[""questions""],[""Nezznar""]],""indices"":[[81],[27],[7]]},""spell"":{""words"":[[""figure"",""information""]],""indices"":[[30,32]]}}]"
"based on my insight roll i will untie him but his legs are still bound and he still has his manacles so should still be retrained as far as movement goes i yell out to the camp just load enough for everyone to hear me ' Prisoner untied, Heard? ' waiting for acknowledgement and i ready my action which will be slapping him in the face with wolf mean that i will use a a conductor from my fists","[{""creature"":{""words"":[[""untie""]],""indices"":[[7]]},""spell"":{""words"":[[""manacles""]],""indices"":[[20]]},""attack"":{""words"":[[""fists""],[""conductor""],[""wolf""],[""slapping""]],""indices"":[[78],[75],[67],[61]]}}]"
catches up to 4legs mc 2nd place greyhound put to pasture mcgee in order to....  21 investigation on the humanoid figure,"[{""creature"":{""words"":[[""investigation""],[""4legs""],[""catches""]],""indices"":[[16],[3],[0]]},""target"":{""words"":[[""humanoid"",""figure""],[""mcgee""],[""greyhound""]],""indices"":[[19,20],[11],[7]]},""attack"":{""words"":[[""pasture""]],""indices"":[[10]]},""attackRoll"":{""words"":[[""21""]],""indices"":[[15]]}}]"
"having failed miserably a feeling of hate blinds me. I drop my arcane focus to the ground and take out both my scimitars and with a might roar yell 'BARBARIAN RAGE!!!' In Hope's to convince them that I am a barbarian, I dont know if that's an intimidation or deception or both i then attack Klarg with both weapons. Attack 19 potential damage 8 Second attack 22 potential damage 1 2","[{""attack"":{""words"":[[""scimitars""],[""arcane""]],""indices"":[[22],[12]]},""spell"":{""words"":[[""'BARBARIAN"",""RAGE!!!'"",""barbarian,""]],""indices"":[[29,30,40]]},""target"":{""words"":[[""Klarg""]],""indices"":[[55]]},""attackRoll"":{""words"":[[""22""],[""19""]],""indices"":[[66],[60]]},""damageRoll"":{""words"":[[""1"",""2""],[""8""]],""indices"":[[69,70],[63]]}}]"
i hand the rat some food and do an arcana check 21,"[{""creature"":{""words"":[[""hand""]],""indices"":[[1]]},""attack"":{""words"":[[""arcana""],[""food""]],""indices"":[[9],[5]]},""attackRoll"":{""words"":[[""21""]],""indices"":[[11]]}}]"
i high five my self then my spider that is painted to look mechanical,"[{""attack"":{""words"":[[""spider""]],""indices"":[[7]]},""attackRoll"":{""words"":[[""five""]],""indices"":[[2]]}}]"
